	Abilities	Height	Local №	National №	Species	Type	Weight	name
10	1. Compound EyesTinted Lens (hidden ability)	3′07″ (1.1 m)	012 (Red/Blue/Yellow)026 (Gold/Silver/Crystal)012 (FireRed/LeafGreen)026 (HeartGold/SoulSilver)025 (X/Y — Central Kalos)019 (Sun/Moon — Alola dex)019 (U.Sun/U.Moon — Alola dex)	012	Butterfly Pokémon	Bug Flying	70.5 lbs (32.0 kg)	Butterfree
11	1. Shield DustRun Away (hidden ability)	1′00″ (0.3 m)	013 (Red/Blue/Yellow)027 (Gold/Silver/Crystal)013 (FireRed/LeafGreen)027 (HeartGold/SoulSilver)026 (X/Y — Central Kalos)	013	Hairy Bug Pokémon	Bug Poison	7.1 lbs (3.2 kg)	Weedle
12	1. Shed Skin	2′00″ (0.6 m)	014 (Red/Blue/Yellow)028 (Gold/Silver/Crystal)014 (FireRed/LeafGreen)028 (HeartGold/SoulSilver)027 (X/Y — Central Kalos)	014	Cocoon Pokémon	Bug Poison	22.0 lbs (10.0 kg)	Kakuna
13	1. SwarmSniper (hidden ability)	3′03″ (1.0 m)	015 (Red/Blue/Yellow)029 (Gold/Silver/Crystal)015 (FireRed/LeafGreen)029 (HeartGold/SoulSilver)028 (X/Y — Central Kalos)	015	Poison Bee Pokémon	Bug Poison	65.0 lbs (29.5 kg)	Beedrill
14	1. Keen Eye2. Tangled FeetBig Pecks (hidden ability)	1′00″ (0.3 m)	016 (Red/Blue/Yellow)010 (Gold/Silver/Crystal)016 (FireRed/LeafGreen)010 (HeartGold/SoulSilver)017 (X/Y — Central Kalos)	016	Tiny Bird Pokémon	Normal Flying	4.0 lbs (1.8 kg)	Pidgey
15	1. Keen Eye2. Tangled FeetBig Pecks (hidden ability)	3′07″ (1.1 m)	017 (Red/Blue/Yellow)011 (Gold/Silver/Crystal)017 (FireRed/LeafGreen)011 (HeartGold/SoulSilver)018 (X/Y — Central Kalos)	017	Bird Pokémon	Normal Flying	66.1 lbs (30.0 kg)	Pidgeotto
16	1. Keen Eye2. Tangled FeetBig Pecks (hidden ability)	4′11″ (1.5 m)	018 (Red/Blue/Yellow)012 (Gold/Silver/Crystal)018 (FireRed/LeafGreen)012 (HeartGold/SoulSilver)019 (X/Y — Central Kalos)	018	Bird Pokémon	Normal Flying	87.1 lbs (39.5 kg)	Pidgeot
17	1. Run Away2. GutsHustle (hidden ability)	1′00″ (0.3 m)	019 (Red/Blue/Yellow)017 (Gold/Silver/Crystal)019 (FireRed/LeafGreen)017 (HeartGold/SoulSilver)059 (Black 2/White 2)015 (Sun/Moon — Alola dex)015 (U.Sun/U.Moon — Alola dex)	019	Mouse Pokémon	Normal	7.7 lbs (3.5 kg)	Rattata
18	1. Run Away2. GutsHustle (hidden ability)	2′04″ (0.7 m)	020 (Red/Blue/Yellow)018 (Gold/Silver/Crystal)020 (FireRed/LeafGreen)018 (HeartGold/SoulSilver)060 (Black 2/White 2)016 (Sun/Moon — Alola dex)016 (U.Sun/U.Moon — Alola dex)	020	Mouse Pokémon	Normal	40.8 lbs (18.5 kg)	Raticate
19	1. Keen EyeSniper (hidden ability)	1′00″ (0.3 m)	021 (Red/Blue/Yellow)013 (Gold/Silver/Crystal)021 (FireRed/LeafGreen)013 (HeartGold/SoulSilver)109 (X/Y — Mountain Kalos)073 (Sun/Moon — Alola dex)087 (U.Sun/U.Moon — Alola dex)	021	Tiny Bird Pokémon	Normal Flying	4.4 lbs (2.0 kg)	Spearow
20	1. Keen EyeSniper (hidden ability)	3′11″ (1.2 m)	022 (Red/Blue/Yellow)014 (Gold/Silver/Crystal)022 (FireRed/LeafGreen)014 (HeartGold/SoulSilver)110 (X/Y — Mountain Kalos)074 (Sun/Moon — Alola dex)088 (U.Sun/U.Moon — Alola dex)	022	Beak Pokémon	Normal Flying	83.8 lbs (38.0 kg)	Fearow
21	1. Intimidate2. Shed SkinUnnerve (hidden ability)	6′07″ (2.0 m)	023 (Red/Blue/Yellow)050 (Gold/Silver/Crystal)023 (FireRed/LeafGreen)050 (HeartGold/SoulSilver)037 (X/Y — Mountain Kalos)061 (U.Sun/U.Moon — Alola dex)	023	Snake Pokémon	Poison	15.2 lbs (6.9 kg)	Ekans
22	1. Intimidate2. Shed SkinUnnerve (hidden ability)	11′06″ (3.5 m)	024 (Red/Blue/Yellow)051 (Gold/Silver/Crystal)024 (FireRed/LeafGreen)051 (HeartGold/SoulSilver)038 (X/Y — Mountain Kalos)062 (U.Sun/U.Moon — Alola dex)	024	Cobra Pokémon	Poison	143.3 lbs (65.0 kg)	Arbok
23	1. StaticLightning Rod (hidden ability)	1′04″ (0.4 m)	025 (Red/Blue/Yellow)022 (Gold/Silver/Crystal)156 (Ruby/Sapphire/Emerald)025 (FireRed/LeafGreen)104 (Diamond/Pearl)104 (Platinum)022 (HeartGold/SoulSilver)036 (X/Y — Central Kalos)163 (Omega Ruby/Alpha Sapphire)025 (Sun/Moon — Alola dex)032 (U.Sun/U.Moon — Alola dex)	025	Mouse Pokémon	Electric	13.2 lbs (6.0 kg)	Pikachu
24	1. StaticLightning Rod (hidden ability)	2′07″ (0.8 m)	026 (Red/Blue/Yellow)023 (Gold/Silver/Crystal)157 (Ruby/Sapphire/Emerald)026 (FireRed/LeafGreen)105 (Diamond/Pearl)105 (Platinum)023 (HeartGold/SoulSilver)037 (X/Y — Central Kalos)164 (Omega Ruby/Alpha Sapphire)026 (Sun/Moon — Alola dex)033 (U.Sun/U.Moon — Alola dex)	026	Mouse Pokémon	Electric	66.1 lbs (30.0 kg)	Raichu
25	1. Sand VeilSand Rush (hidden ability)	2′00″ (0.6 m)	027 (Red/Blue/Yellow)048 (Gold/Silver/Crystal)112 (Ruby/Sapphire/Emerald)027 (FireRed/LeafGreen)048 (HeartGold/SoulSilver)113 (Black 2/White 2)097 (X/Y — Mountain Kalos)117 (Omega Ruby/Alpha Sapphire)251 (Sun/Moon — Alola dex)328 (U.Sun/U.Moon — Alola dex)	027	Mouse Pokémon	Ground	26.5 lbs (12.0 kg)	Sandshrew
26	1. Sand VeilSand Rush (hidden ability)	3′03″ (1.0 m)	028 (Red/Blue/Yellow)049 (Gold/Silver/Crystal)113 (Ruby/Sapphire/Emerald)028 (FireRed/LeafGreen)049 (HeartGold/SoulSilver)114 (Black 2/White 2)098 (X/Y — Mountain Kalos)118 (Omega Ruby/Alpha Sapphire)252 (Sun/Moon — Alola dex)329 (U.Sun/U.Moon — Alola dex)	028	Mouse Pokémon	Ground	65.0 lbs (29.5 kg)	Sandslash
27	1. Poison Point2. RivalryHustle (hidden ability)	1′04″ (0.4 m)	029 (Red/Blue/Yellow)095 (Gold/Silver/Crystal)029 (FireRed/LeafGreen)095 (HeartGold/SoulSilver)104 (X/Y — Coastal Kalos)	029	Poison Pin Pokémon	Poison	15.4 lbs (7.0 kg)	Nidoran♀
28	1. Poison Point2. RivalryHustle (hidden ability)	2′07″ (0.8 m)	030 (Red/Blue/Yellow)096 (Gold/Silver/Crystal)030 (FireRed/LeafGreen)096 (HeartGold/SoulSilver)105 (X/Y — Coastal Kalos)	030	Poison Pin Pokémon	Poison	44.1 lbs (20.0 kg)	Nidorina
29	1. Poison Point2. RivalrySheer Force (hidden ability)	4′03″ (1.3 m)	031 (Red/Blue/Yellow)097 (Gold/Silver/Crystal)031 (FireRed/LeafGreen)097 (HeartGold/SoulSilver)106 (X/Y — Coastal Kalos)	031	Drill Pokémon	Poison Ground	132.3 lbs (60.0 kg)	Nidoqueen
30	1. Poison Point2. RivalryHustle (hidden ability)	1′08″ (0.5 m)	032 (Red/Blue/Yellow)098 (Gold/Silver/Crystal)032 (FireRed/LeafGreen)098 (HeartGold/SoulSilver)107 (X/Y — Coastal Kalos)	032	Poison Pin Pokémon	Poison	19.8 lbs (9.0 kg)	Nidoran♂
31	1. Poison Point2. RivalryHustle (hidden ability)	2′11″ (0.9 m)	033 (Red/Blue/Yellow)099 (Gold/Silver/Crystal)033 (FireRed/LeafGreen)099 (HeartGold/SoulSilver)108 (X/Y — Coastal Kalos)	033	Poison Pin Pokémon	Poison	43.0 lbs (19.5 kg)	Nidorino
32	1. Poison Point2. RivalrySheer Force (hidden ability)	4′07″ (1.4 m)	034 (Red/Blue/Yellow)100 (Gold/Silver/Crystal)034 (FireRed/LeafGreen)100 (HeartGold/SoulSilver)109 (X/Y — Coastal Kalos)	034	Drill Pokémon	Poison Ground	136.7 lbs (62.0 kg)	Nidoking
33	1. Cute Charm2. Magic GuardFriend Guard (hidden ability)	2′00″ (0.6 m)	035 (Red/Blue/Yellow)041 (Gold/Silver/Crystal)035 (FireRed/LeafGreen)100 (Diamond/Pearl)100 (Platinum)041 (HeartGold/SoulSilver)089 (Black 2/White 2)211 (Sun/Moon — Alola dex)273 (U.Sun/U.Moon — Alola dex)	035	Fairy Pokémon	Fairy	16.5 lbs (7.5 kg)	Clefairy
34	1. Cute Charm2. Magic GuardUnaware (hidden ability)	4′03″ (1.3 m)	036 (Red/Blue/Yellow)042 (Gold/Silver/Crystal)036 (FireRed/LeafGreen)101 (Diamond/Pearl)101 (Platinum)042 (HeartGold/SoulSilver)090 (Black 2/White 2)212 (Sun/Moon — Alola dex)274 (U.Sun/U.Moon — Alola dex)	036	Fairy Pokémon	Fairy	88.2 lbs (40.0 kg)	Clefable
35	1. Flash FireDrought (hidden ability)	2′00″ (0.6 m)	037 (Red/Blue/Yellow)125 (Gold/Silver/Crystal)153 (Ruby/Sapphire/Emerald)037 (FireRed/LeafGreen)127 (HeartGold/SoulSilver)248 (Black 2/White 2)160 (Omega Ruby/Alpha Sapphire)253 (Sun/Moon — Alola dex)330 (U.Sun/U.Moon — Alola dex)	037	Fox Pokémon	Fire	21.8 lbs (9.9 kg)	Vulpix
36	1. Flash FireDrought (hidden ability)	3′07″ (1.1 m)	038 (Red/Blue/Yellow)126 (Gold/Silver/Crystal)154 (Ruby/Sapphire/Emerald)038 (FireRed/LeafGreen)128 (HeartGold/SoulSilver)249 (Black 2/White 2)161 (Omega Ruby/Alpha Sapphire)254 (Sun/Moon — Alola dex)331 (U.Sun/U.Moon — Alola dex)	038	Fox Pokémon	Fire	43.9 lbs (19.9 kg)	Ninetales
37	1. Cute Charm2. CompetitiveFriend Guard (hidden ability)	1′08″ (0.5 m)	039 (Red/Blue/Yellow)044 (Gold/Silver/Crystal)138 (Ruby/Sapphire/Emerald)039 (FireRed/LeafGreen)044 (HeartGold/SoulSilver)282 (Black 2/White 2)120 (X/Y — Mountain Kalos)143 (Omega Ruby/Alpha Sapphire)135 (Sun/Moon — Alola dex)168 (U.Sun/U.Moon — Alola dex)	039	Balloon Pokémon	Normal Fairy	12.1 lbs (5.5 kg)	Jigglypuff
38	1. Cute Charm2. CompetitiveFrisk (hidden ability)	3′03″ (1.0 m)	040 (Red/Blue/Yellow)045 (Gold/Silver/Crystal)139 (Ruby/Sapphire/Emerald)040 (FireRed/LeafGreen)045 (HeartGold/SoulSilver)283 (Black 2/White 2)121 (X/Y — Mountain Kalos)144 (Omega Ruby/Alpha Sapphire)136 (Sun/Moon — Alola dex)169 (U.Sun/U.Moon — Alola dex)	040	Balloon Pokémon	Normal Fairy	26.5 lbs (12.0 kg)	Wigglytuff
39	1. Inner FocusInfiltrator (hidden ability)	2′07″ (0.8 m)	041 (Red/Blue/Yellow)037 (Gold/Silver/Crystal)063 (Ruby/Sapphire/Emerald)041 (FireRed/LeafGreen)028 (Diamond/Pearl)028 (Platinum)037 (HeartGold/SoulSilver)061 (Black 2/White 2)145 (X/Y — Central Kalos)065 (Omega Ruby/Alpha Sapphire)068 (Sun/Moon — Alola dex)080 (U.Sun/U.Moon — Alola dex)	041	Bat Pokémon	Poison Flying	16.5 lbs (7.5 kg)	Zubat
40	1. Inner FocusInfiltrator (hidden ability)	5′03″ (1.6 m)	042 (Red/Blue/Yellow)038 (Gold/Silver/Crystal)064 (Ruby/Sapphire/Emerald)042 (FireRed/LeafGreen)029 (Diamond/Pearl)029 (Platinum)038 (HeartGold/SoulSilver)062 (Black 2/White 2)146 (X/Y — Central Kalos)066 (Omega Ruby/Alpha Sapphire)069 (Sun/Moon — Alola dex)081 (U.Sun/U.Moon — Alola dex)	042	Bat Pokémon	Poison Flying	121.3 lbs (55.0 kg)	Golbat
41	1. ChlorophyllRun Away (hidden ability)	1′08″ (0.5 m)	043 (Red/Blue/Yellow)083 (Gold/Silver/Crystal)088 (Ruby/Sapphire/Emerald)043 (FireRed/LeafGreen)083 (HeartGold/SoulSilver)105 (X/Y — Central Kalos)091 (Omega Ruby/Alpha Sapphire)	043	Weed Pokémon	Grass Poison	11.9 lbs (5.4 kg)	Oddish
42	1. ChlorophyllStench (hidden ability)	2′07″ (0.8 m)	044 (Red/Blue/Yellow)084 (Gold/Silver/Crystal)089 (Ruby/Sapphire/Emerald)044 (FireRed/LeafGreen)084 (HeartGold/SoulSilver)106 (X/Y — Central Kalos)092 (Omega Ruby/Alpha Sapphire)	044	Weed Pokémon	Grass Poison	19.0 lbs (8.6 kg)	Gloom
43	1. ChlorophyllEffect Spore (hidden ability)	3′11″ (1.2 m)	045 (Red/Blue/Yellow)085 (Gold/Silver/Crystal)090 (Ruby/Sapphire/Emerald)045 (FireRed/LeafGreen)085 (HeartGold/SoulSilver)107 (X/Y — Central Kalos)093 (Omega Ruby/Alpha Sapphire)	045	Flower Pokémon	Grass Poison	41.0 lbs (18.6 kg)	Vileplume
44	1. Effect Spore2. Dry SkinDamp (hidden ability)	1′00″ (0.3 m)	046 (Red/Blue/Yellow)070 (Gold/Silver/Crystal)046 (FireRed/LeafGreen)070 (HeartGold/SoulSilver)147 (Sun/Moon — Alola dex)180 (U.Sun/U.Moon — Alola dex)	046	Mushroom Pokémon	Bug Grass	11.9 lbs (5.4 kg)	Paras
45	1. Effect Spore2. Dry SkinDamp (hidden ability)	3′03″ (1.0 m)	047 (Red/Blue/Yellow)071 (Gold/Silver/Crystal)047 (FireRed/LeafGreen)071 (HeartGold/SoulSilver)148 (Sun/Moon — Alola dex)181 (U.Sun/U.Moon — Alola dex)	047	Mushroom Pokémon	Bug Grass	65.0 lbs (29.5 kg)	Parasect
46	1. Compound Eyes2. Tinted LensRun Away (hidden ability)	3′03″ (1.0 m)	048 (Red/Blue/Yellow)108 (Gold/Silver/Crystal)048 (FireRed/LeafGreen)109 (HeartGold/SoulSilver)	048	Insect Pokémon	Bug Poison	66.1 lbs (30.0 kg)	Venonat
47	1. Shield Dust2. Tinted LensWonder Skin (hidden ability)	4′11″ (1.5 m)	049 (Red/Blue/Yellow)109 (Gold/Silver/Crystal)049 (FireRed/LeafGreen)110 (HeartGold/SoulSilver)	049	Poison Moth Pokémon	Bug Poison	27.6 lbs (12.5 kg)	Venomoth
48	1. Sand Veil2. Arena TrapSand Force (hidden ability)	0′08″ (0.2 m)	050 (Red/Blue/Yellow)132 (Gold/Silver/Crystal)050 (FireRed/LeafGreen)134 (HeartGold/SoulSilver)001 (X/Y — Mountain Kalos)071 (Sun/Moon — Alola dex)085 (U.Sun/U.Moon — Alola dex)	050	Mole Pokémon	Ground	1.8 lbs (0.8 kg)	Diglett
49	1. Sand Veil2. Arena TrapSand Force (hidden ability)	2′04″ (0.7 m)	051 (Red/Blue/Yellow)133 (Gold/Silver/Crystal)051 (FireRed/LeafGreen)135 (HeartGold/SoulSilver)002 (X/Y — Mountain Kalos)072 (Sun/Moon — Alola dex)086 (U.Sun/U.Moon — Alola dex)	051	Mole Pokémon	Ground	73.4 lbs (33.3 kg)	Dugtrio
50	1. Pickup2. TechnicianUnnerve (hidden ability)	1′04″ (0.4 m)	052 (Red/Blue/Yellow)136 (Gold/Silver/Crystal)052 (FireRed/LeafGreen)138 (HeartGold/SoulSilver)045 (Sun/Moon — Alola dex)052 (U.Sun/U.Moon — Alola dex)	052	Scratch Cat Pokémon	Normal	9.3 lbs (4.2 kg)	Meowth
51	1. Limber2. TechnicianUnnerve (hidden ability)	3′03″ (1.0 m)	053 (Red/Blue/Yellow)137 (Gold/Silver/Crystal)053 (FireRed/LeafGreen)139 (HeartGold/SoulSilver)046 (Sun/Moon — Alola dex)053 (U.Sun/U.Moon — Alola dex)	053	Classy Cat Pokémon	Normal	70.5 lbs (32.0 kg)	Persian
52	1. Damp2. Cloud NineSwift Swim (hidden ability)	2′07″ (0.8 m)	054 (Red/Blue/Yellow)138 (Gold/Silver/Crystal)158 (Ruby/Sapphire/Emerald)054 (FireRed/LeafGreen)043 (Diamond/Pearl)043 (Platinum)140 (HeartGold/SoulSilver)028 (Black 2/White 2)059 (X/Y — Central Kalos)165 (Omega Ruby/Alpha Sapphire)089 (Sun/Moon — Alola dex)107 (U.Sun/U.Moon — Alola dex)	054	Duck Pokémon	Water	43.2 lbs (19.6 kg)	Psyduck
53	1. Damp2. Cloud NineSwift Swim (hidden ability)	5′07″ (1.7 m)	055 (Red/Blue/Yellow)139 (Gold/Silver/Crystal)159 (Ruby/Sapphire/Emerald)055 (FireRed/LeafGreen)044 (Diamond/Pearl)044 (Platinum)141 (HeartGold/SoulSilver)029 (Black 2/White 2)060 (X/Y — Central Kalos)166 (Omega Ruby/Alpha Sapphire)090 (Sun/Moon — Alola dex)108 (U.Sun/U.Moon — Alola dex)	055	Duck Pokémon	Water	168.9 lbs (76.6 kg)	Golduck
54	1. Vital Spirit2. Anger PointDefiant (hidden ability)	1′08″ (0.5 m)	056 (Red/Blue/Yellow)134 (Gold/Silver/Crystal)056 (FireRed/LeafGreen)136 (HeartGold/SoulSilver)079 (Sun/Moon — Alola dex)093 (U.Sun/U.Moon — Alola dex)	056	Pig Monkey Pokémon	Fighting	61.7 lbs (28.0 kg)	Mankey
55	1. Vital Spirit2. Anger PointDefiant (hidden ability)	3′03″ (1.0 m)	057 (Red/Blue/Yellow)135 (Gold/Silver/Crystal)057 (FireRed/LeafGreen)137 (HeartGold/SoulSilver)080 (Sun/Moon — Alola dex)094 (U.Sun/U.Moon — Alola dex)	057	Pig Monkey Pokémon	Fighting	70.5 lbs (32.0 kg)	Primeape
56	1. Intimidate2. Flash FireJustified (hidden ability)	2′04″ (0.7 m)	058 (Red/Blue/Yellow)127 (Gold/Silver/Crystal)058 (FireRed/LeafGreen)129 (HeartGold/SoulSilver)051 (Black 2/White 2)052 (Sun/Moon — Alola dex)064 (U.Sun/U.Moon — Alola dex)	058	Puppy Pokémon	Fire	41.9 lbs (19.0 kg)	Growlithe
57	1. Intimidate2. Flash FireJustified (hidden ability)	6′03″ (1.9 m)	059 (Red/Blue/Yellow)128 (Gold/Silver/Crystal)059 (FireRed/LeafGreen)130 (HeartGold/SoulSilver)052 (Black 2/White 2)053 (Sun/Moon — Alola dex)065 (U.Sun/U.Moon — Alola dex)	059	Legendary Pokémon	Fire	341.7 lbs (155.0 kg)	Arcanine
58	1. Water Absorb2. DampSwift Swim (hidden ability)	2′00″ (0.6 m)	060 (Red/Blue/Yellow)072 (Gold/Silver/Crystal)060 (FireRed/LeafGreen)072 (HeartGold/SoulSilver)033 (X/Y — Mountain Kalos)149 (Sun/Moon — Alola dex)182 (U.Sun/U.Moon — Alola dex)	060	Tadpole Pokémon	Water	27.3 lbs (12.4 kg)	Poliwag
59	1. Water Absorb2. DampSwift Swim (hidden ability)	3′03″ (1.0 m)	061 (Red/Blue/Yellow)073 (Gold/Silver/Crystal)061 (FireRed/LeafGreen)073 (HeartGold/SoulSilver)034 (X/Y — Mountain Kalos)150 (Sun/Moon — Alola dex)183 (U.Sun/U.Moon — Alola dex)	061	Tadpole Pokémon	Water	44.1 lbs (20.0 kg)	Poliwhirl
60	1. Water Absorb2. DampSwift Swim (hidden ability)	4′03″ (1.3 m)	062 (Red/Blue/Yellow)074 (Gold/Silver/Crystal)062 (FireRed/LeafGreen)074 (HeartGold/SoulSilver)035 (X/Y — Mountain Kalos)151 (Sun/Moon — Alola dex)184 (U.Sun/U.Moon — Alola dex)	062	Tadpole Pokémon	Water Fighting	119.0 lbs (54.0 kg)	Poliwrath
61	1. Synchronize2. Inner FocusMagic Guard (hidden ability)	2′11″ (0.9 m)	063 (Red/Blue/Yellow)089 (Gold/Silver/Crystal)039 (Ruby/Sapphire/Emerald)063 (FireRed/LeafGreen)020 (Diamond/Pearl)020 (Platinum)089 (HeartGold/SoulSilver)102 (X/Y — Central Kalos)040 (Omega Ruby/Alpha Sapphire)042 (Sun/Moon — Alola dex)049 (U.Sun/U.Moon — Alola dex)	063	Psi Pokémon	Psychic	43.0 lbs (19.5 kg)	Abra
62	1. Synchronize2. Inner FocusMagic Guard (hidden ability)	4′03″ (1.3 m)	064 (Red/Blue/Yellow)090 (Gold/Silver/Crystal)040 (Ruby/Sapphire/Emerald)064 (FireRed/LeafGreen)021 (Diamond/Pearl)021 (Platinum)090 (HeartGold/SoulSilver)103 (X/Y — Central Kalos)041 (Omega Ruby/Alpha Sapphire)043 (Sun/Moon — Alola dex)050 (U.Sun/U.Moon — Alola dex)	064	Psi Pokémon	Psychic	124.6 lbs (56.5 kg)	Kadabra
63	1. Synchronize2. Inner FocusMagic Guard (hidden ability)	4′11″ (1.5 m)	065 (Red/Blue/Yellow)091 (Gold/Silver/Crystal)041 (Ruby/Sapphire/Emerald)065 (FireRed/LeafGreen)022 (Diamond/Pearl)022 (Platinum)091 (HeartGold/SoulSilver)104 (X/Y — Central Kalos)042 (Omega Ruby/Alpha Sapphire)044 (Sun/Moon — Alola dex)051 (U.Sun/U.Moon — Alola dex)	065	Psi Pokémon	Psychic	105.8 lbs (48.0 kg)	Alakazam
64	1. Guts2. No GuardSteadfast (hidden ability)	2′07″ (0.8 m)	066 (Red/Blue/Yellow)140 (Gold/Silver/Crystal)073 (Ruby/Sapphire/Emerald)066 (FireRed/LeafGreen)040 (Diamond/Pearl)040 (Platinum)142 (HeartGold/SoulSilver)057 (X/Y — Coastal Kalos)075 (Omega Ruby/Alpha Sapphire)095 (Sun/Moon — Alola dex)117 (U.Sun/U.Moon — Alola dex)	066	Superpower Pokémon	Fighting	43.0 lbs (19.5 kg)	Machop
65	1. Guts2. No GuardSteadfast (hidden ability)	4′11″ (1.5 m)	067 (Red/Blue/Yellow)141 (Gold/Silver/Crystal)074 (Ruby/Sapphire/Emerald)067 (FireRed/LeafGreen)041 (Diamond/Pearl)041 (Platinum)143 (HeartGold/SoulSilver)058 (X/Y — Coastal Kalos)076 (Omega Ruby/Alpha Sapphire)096 (Sun/Moon — Alola dex)118 (U.Sun/U.Moon — Alola dex)	067	Superpower Pokémon	Fighting	155.4 lbs (70.5 kg)	Machoke
66	1. Guts2. No GuardSteadfast (hidden ability)	5′03″ (1.6 m)	068 (Red/Blue/Yellow)142 (Gold/Silver/Crystal)075 (Ruby/Sapphire/Emerald)068 (FireRed/LeafGreen)042 (Diamond/Pearl)042 (Platinum)144 (HeartGold/SoulSilver)059 (X/Y — Coastal Kalos)077 (Omega Ruby/Alpha Sapphire)097 (Sun/Moon — Alola dex)119 (U.Sun/U.Moon — Alola dex)	068	Superpower Pokémon	Fighting	286.6 lbs (130.0 kg)	Machamp
67	1. ChlorophyllGluttony (hidden ability)	2′04″ (0.7 m)	069 (Red/Blue/Yellow)064 (Gold/Silver/Crystal)069 (FireRed/LeafGreen)064 (HeartGold/SoulSilver)026 (X/Y — Mountain Kalos)	069	Flower Pokémon	Grass Poison	8.8 lbs (4.0 kg)	Bellsprout
68	1. ChlorophyllGluttony (hidden ability)	3′03″ (1.0 m)	070 (Red/Blue/Yellow)065 (Gold/Silver/Crystal)070 (FireRed/LeafGreen)065 (HeartGold/SoulSilver)027 (X/Y — Mountain Kalos)	070	Flycatcher Pokémon	Grass Poison	14.1 lbs (6.4 kg)	Weepinbell
69	1. ChlorophyllGluttony (hidden ability)	5′07″ (1.7 m)	071 (Red/Blue/Yellow)066 (Gold/Silver/Crystal)071 (FireRed/LeafGreen)066 (HeartGold/SoulSilver)028 (X/Y — Mountain Kalos)	071	Flycatcher Pokémon	Grass Poison	34.2 lbs (15.5 kg)	Victreebel
70	1. Clear Body2. Liquid OozeRain Dish (hidden ability)	2′11″ (0.9 m)	072 (Red/Blue/Yellow)162 (Gold/Silver/Crystal)066 (Ruby/Sapphire/Emerald)072 (FireRed/LeafGreen)136 (Diamond/Pearl)136 (Platinum)164 (HeartGold/SoulSilver)025 (X/Y — Coastal Kalos)068 (Omega Ruby/Alpha Sapphire)106 (Sun/Moon — Alola dex)129 (U.Sun/U.Moon — Alola dex)	072	Jellyfish Pokémon	Water Poison	100.3 lbs (45.5 kg)	Tentacool
