	description	name
58	Poliwag is a Water type Pokémon introduced in Generation 1. It is known as the Tadpole Pokémon.	Poliwag
59	Poliwhirl is a Water type Pokémon introduced in Generation 1. It is known as the Tadpole Pokémon.	Poliwhirl
60	Poliwrath is a Water/Fighting type Pokémon introduced in Generation 1. It is known as the Tadpole Pokémon.	Poliwrath
61	Abra is a Psychic type Pokémon introduced in Generation 1. It is known as the Psi Pokémon.	Abra
62	Kadabra is a Psychic type Pokémon introduced in Generation 1. It is known as the Psi Pokémon.	Kadabra
63	"Alakazam is a Psychic type Pokémon introduced in Generation 1. It is known as the Psi Pokémon.
Alakazam has a Mega Evolution, available from X & Y onwards."	Alakazam
64	Machop is a Fighting type Pokémon introduced in Generation 1. It is known as the Superpower Pokémon.	Machop
65	Machoke is a Fighting type Pokémon introduced in Generation 1. It is known as the Superpower Pokémon.	Machoke
66	Machamp is a Fighting type Pokémon introduced in Generation 1. It is known as the Superpower Pokémon.	Machamp
67	Bellsprout is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Flower Pokémon.	Bellsprout
68	Weepinbell is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Flycatcher Pokémon.	Weepinbell
69	Victreebel is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Flycatcher Pokémon.	Victreebel
70	Tentacool is a Water/Poison type Pokémon introduced in Generation 1. It is known as the Jellyfish Pokémon.	Tentacool
71	Tentacruel is a Water/Poison type Pokémon introduced in Generation 1. It is known as the Jellyfish Pokémon.	Tentacruel
72	Geodude is a Rock/Ground type Pokémon introduced in Generation 1. It is known as the Rock Pokémon.	Geodude
73	Graveler is a Rock/Ground type Pokémon introduced in Generation 1. It is known as the Rock Pokémon.	Graveler
74	Golem is a Rock/Ground type Pokémon introduced in Generation 1. It is known as the Megaton Pokémon.	Golem
75	Ponyta is a Fire type Pokémon introduced in Generation 1. It is known as the Fire Horse Pokémon.	Ponyta
76	Rapidash is a Fire type Pokémon introduced in Generation 1. It is known as the Fire Horse Pokémon.	Rapidash
77	Slowpoke is a Water/Psychic type Pokémon introduced in Generation 1. It is known as the Dopey Pokémon.	Slowpoke
78	"Slowbro is a Water/Psychic type Pokémon introduced in Generation 1. It is known as the Hermit Crab Pokémon.
Slowbro has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards."	Slowbro
79	Magnemite is an Electric/Steel type Pokémon introduced in Generation 1. It is known as the Magnet Pokémon.	Magnemite
80	Magneton is an Electric/Steel type Pokémon introduced in Generation 1. It is known as the Magnet Pokémon.	Magneton
81	Farfetch'd is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Wild Duck Pokémon.	Farfetch'd
82	Doduo is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Twin Bird Pokémon.	Doduo
83	Dodrio is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Triple Bird Pokémon.	Dodrio
84	Seel is a Water type Pokémon introduced in Generation 1. It is known as the Sea Lion Pokémon.	Seel
85	Dewgong is a Water/Ice type Pokémon introduced in Generation 1. It is known as the Sea Lion Pokémon.	Dewgong
86	"Grimer is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.
Grimer has a new Alolan form introduced in Pokémon Sun/Moon."	Grimer
87	"Muk is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.
Muk has a new Alolan form introduced in Pokémon Sun/Moon."	Muk
88	Shellder is a Water type Pokémon introduced in Generation 1. It is known as the Bivalve Pokémon.	Shellder
89	Cloyster is a Water/Ice type Pokémon introduced in Generation 1. It is known as the Bivalve Pokémon.	Cloyster
90	Gastly is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Gas Pokémon.	Gastly
91	Haunter is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Gas Pokémon.	Haunter
92	"Gengar is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Shadow Pokémon.
Gengar has a Mega Evolution, available from X & Y onwards.
Prior to Generation 7, Gengar had the Levitate ability."	Gengar
93	Onix is a Rock/Ground type Pokémon introduced in Generation 1. It is known as the Rock Snake Pokémon.	Onix
94	Drowzee is a Psychic type Pokémon introduced in Generation 1. It is known as the Hypnosis Pokémon.	Drowzee
95	Hypno is a Psychic type Pokémon introduced in Generation 1. It is known as the Hypnosis Pokémon.	Hypno
96	Krabby is a Water type Pokémon introduced in Generation 1. It is known as the River Crab Pokémon.	Krabby
97	Kingler is a Water type Pokémon introduced in Generation 1. It is known as the Pincer Pokémon.	Kingler
98	Voltorb is an Electric type Pokémon introduced in Generation 1. It is known as the Ball Pokémon.	Voltorb
99	Electrode is an Electric type Pokémon introduced in Generation 1. It is known as the Ball Pokémon.	Electrode
100	Exeggcute is a Grass/Psychic type Pokémon introduced in Generation 1. It is known as the Egg Pokémon.	Exeggcute
101	"Exeggutor is a Grass/Psychic type Pokémon introduced in Generation 1. It is known as the Coconut Pokémon.
Exeggutor has a new Alolan form introduced in Pokémon Sun/Moon."	Exeggutor
102	Cubone is a Ground type Pokémon introduced in Generation 1. It is known as the Lonely Pokémon.	Cubone
103	"Marowak is a Ground type Pokémon introduced in Generation 1. It is known as the Bone Keeper Pokémon.
Marowak has a new Alolan form introduced in Pokémon Sun/Moon."	Marowak
104	Hitmonlee is a Fighting type Pokémon introduced in Generation 1. It is known as the Kicking Pokémon.	Hitmonlee
105	Hitmonchan is a Fighting type Pokémon introduced in Generation 1. It is known as the Punching Pokémon.	Hitmonchan
106	Lickitung is a Normal type Pokémon introduced in Generation 1. It is known as the Licking Pokémon.	Lickitung
107	Koffing is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Gas Pokémon.	Koffing
108	Weezing is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Gas Pokémon.	Weezing
109	Rhyhorn is a Ground/Rock type Pokémon introduced in Generation 1. It is known as the Spikes Pokémon.	Rhyhorn
110	Rhydon is a Ground/Rock type Pokémon introduced in Generation 1. It is known as the Drill Pokémon.	Rhydon
111	Chansey is a Normal type Pokémon introduced in Generation 1. It is known as the Egg Pokémon.	Chansey
112	Tangela is a Grass type Pokémon introduced in Generation 1. It is known as the Vine Pokémon.	Tangela
113	"Kangaskhan is a Normal type Pokémon introduced in Generation 1. It is known as the Parent Pokémon.
Kangaskhan has a Mega Evolution, available from X & Y onwards."	Kangaskhan
114	Horsea is a Water type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.	Horsea
115	Seadra is a Water type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.	Seadra
116	Goldeen is a Water type Pokémon introduced in Generation 1. It is known as the Goldfish Pokémon.	Goldeen
117	Seaking is a Water type Pokémon introduced in Generation 1. It is known as the Goldfish Pokémon.	Seaking
118	Staryu is a Water type Pokémon introduced in Generation 1. It is known as the Star Shape Pokémon.	Staryu
119	Starmie is a Water/Psychic type Pokémon introduced in Generation 1. It is known as the Mysterious Pokémon.	Starmie
120	Mr. Mime is a Psychic/Fairy type Pokémon introduced in Generation 1. It is known as the Barrier Pokémon.	Mr. Mime
121	Scyther is a Bug/Flying type Pokémon introduced in Generation 1. It is known as the Mantis Pokémon.	Scyther
122	Jynx is an Ice/Psychic type Pokémon introduced in Generation 1. It is known as the Human Shape Pokémon.	Jynx
123	Electabuzz is an Electric type Pokémon introduced in Generation 1. It is known as the Electric Pokémon.	Electabuzz
124	Magmar is a Fire type Pokémon introduced in Generation 1. It is known as the Spitfire Pokémon.	Magmar
125	"Pinsir is a Bug type Pokémon introduced in Generation 1. It is known as the Stag Beetle Pokémon.
Pinsir has a Mega Evolution, available from X & Y onwards."	Pinsir
126	Tauros is a Normal type Pokémon introduced in Generation 1. It is known as the Wild Bull Pokémon.	Tauros
127	Magikarp is a Water type Pokémon introduced in Generation 1. It is known as the Fish Pokémon.	Magikarp
128	"Gyarados is a Water/Flying type Pokémon introduced in Generation 1. It is known as the Atrocious Pokémon.
Gyarados has a Mega Evolution, available from X & Y onwards."	Gyarados
129	Lapras is a Water/Ice type Pokémon introduced in Generation 1. It is known as the Transport Pokémon.	Lapras
130	Ditto is a Normal type Pokémon introduced in Generation 1. It is known as the Transform Pokémon.	Ditto
131	Eevee is a Normal type Pokémon introduced in Generation 1. It is known as the Evolution Pokémon.	Eevee
132	Vaporeon is a Water type Pokémon introduced in Generation 1. It is known as the Bubble Jet Pokémon.	Vaporeon
133	Jolteon is an Electric type Pokémon introduced in Generation 1. It is known as the Lightning Pokémon.	Jolteon
134	Flareon is a Fire type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.	Flareon
135	Porygon is a Normal type Pokémon introduced in Generation 1. It is known as the Virtual Pokémon.	Porygon
136	Omanyte is a Rock/Water type Pokémon introduced in Generation 1. It is known as the Spiral Pokémon.	Omanyte
137	Omastar is a Rock/Water type Pokémon introduced in Generation 1. It is known as the Spiral Pokémon.	Omastar
138	Kabuto is a Rock/Water type Pokémon introduced in Generation 1. It is known as the Shellfish Pokémon.	Kabuto
139	Kabutops is a Rock/Water type Pokémon introduced in Generation 1. It is known as the Shellfish Pokémon.	Kabutops
140	"Aerodactyl is a Rock/Flying type Pokémon introduced in Generation 1. It is known as the Fossil Pokémon.
Aerodactyl has a Mega Evolution, available from X & Y onwards."	Aerodactyl
141	Snorlax is a Normal type Pokémon introduced in Generation 1. It is known as the Sleeping Pokémon.	Snorlax
142	Articuno is an Ice/Flying type Pokémon introduced in Generation 1. It is known as the Freeze Pokémon.	Articuno
143	Zapdos is an Electric/Flying type Pokémon introduced in Generation 1. It is known as the Electric Pokémon.	Zapdos
144	Moltres is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.	Moltres
145	Dratini is a Dragon type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.	Dratini
146	Dragonair is a Dragon type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.	Dragonair
147	Dragonite is a Dragon/Flying type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.	Dragonite
148	"Mewtwo is a Psychic type Pokémon introduced in Generation 1. It is known as the Genetic Pokémon.
Mewtwo has two Mega Evolutions, available from X & Y onwards. They can be activated in battle when holding the Mega Stones, Mewtwonite X and Mewtwonite Y respectively."	Mewtwo
149	Mew is a Psychic type Pokémon introduced in Generation 1. It is known as the New Species Pokémon.	Mew
150	Chikorita is a Grass type Pokémon introduced in Generation 2. It is known as the Leaf Pokémon.	Chikorita
151	Bayleef is a Grass type Pokémon introduced in Generation 2. It is known as the Leaf Pokémon.	Bayleef
152	Meganium is a Grass type Pokémon introduced in Generation 2. It is known as the Herb Pokémon.	Meganium
153	Cyndaquil is a Fire type Pokémon introduced in Generation 2. It is known as the Fire Mouse Pokémon.	Cyndaquil
154	Quilava is a Fire type Pokémon introduced in Generation 2. It is known as the Volcano Pokémon.	Quilava
155	Typhlosion is a Fire type Pokémon introduced in Generation 2. It is known as the Volcano Pokémon.	Typhlosion
156	Totodile is a Water type Pokémon introduced in Generation 2. It is known as the Big Jaw Pokémon.	Totodile
157	Croconaw is a Water type Pokémon introduced in Generation 2. It is known as the Big Jaw Pokémon.	Croconaw
158	Feraligatr is a Water type Pokémon introduced in Generation 2. It is known as the Big Jaw Pokémon.	Feraligatr
159	Sentret is a Normal type Pokémon introduced in Generation 2. It is known as the Scout Pokémon.	Sentret
160	Furret is a Normal type Pokémon introduced in Generation 2. It is known as the Long Body Pokémon.	Furret
161	Hoothoot is a Normal/Flying type Pokémon introduced in Generation 2. It is known as the Owl Pokémon.	Hoothoot
162	Noctowl is a Normal/Flying type Pokémon introduced in Generation 2. It is known as the Owl Pokémon.	Noctowl
163	Ledyba is a Bug/Flying type Pokémon introduced in Generation 2. It is known as the Five Star Pokémon.	Ledyba
164	Ledian is a Bug/Flying type Pokémon introduced in Generation 2. It is known as the Five Star Pokémon.	Ledian
165	Spinarak is a Bug/Poison type Pokémon introduced in Generation 2. It is known as the String Spit Pokémon.	Spinarak
166	Ariados is a Bug/Poison type Pokémon introduced in Generation 2. It is known as the Long Leg Pokémon.	Ariados
167	Crobat is a Poison/Flying type Pokémon introduced in Generation 2. It is known as the Bat Pokémon.	Crobat
168	Chinchou is a Water/Electric type Pokémon introduced in Generation 2. It is known as the Angler Pokémon.	Chinchou
169	Lanturn is a Water/Electric type Pokémon introduced in Generation 2. It is known as the Light Pokémon.	Lanturn
170	Pichu is an Electric type Pokémon introduced in Generation 2. It is known as the Tiny Mouse Pokémon.	Pichu
171	Cleffa is a Fairy type Pokémon introduced in Generation 2. It is known as the Star Shape Pokémon.	Cleffa
172	Igglybuff is a Normal/Fairy type Pokémon introduced in Generation 2. It is known as the Balloon Pokémon.	Igglybuff
173	Togepi is a Fairy type Pokémon introduced in Generation 2. It is known as the Spike Ball Pokémon.	Togepi
174	Togetic is a Fairy/Flying type Pokémon introduced in Generation 2. It is known as the Happiness Pokémon.	Togetic
175	Natu is a Psychic/Flying type Pokémon introduced in Generation 2. It is known as the Tiny Bird Pokémon.	Natu
176	Xatu is a Psychic/Flying type Pokémon introduced in Generation 2. It is known as the Mystic Pokémon.	Xatu
177	Mareep is an Electric type Pokémon introduced in Generation 2. It is known as the Wool Pokémon.	Mareep
178	Flaaffy is an Electric type Pokémon introduced in Generation 2. It is known as the Wool Pokémon.	Flaaffy
179	Ampharos is an Electric type Pokémon introduced in Generation 2. It is known as the Light Pokémon.	Ampharos
180	Bellossom is a Grass type Pokémon introduced in Generation 2. It is known as the Flower Pokémon.	Bellossom
181	Marill is a Water/Fairy type Pokémon introduced in Generation 2. It is known as the Aqua Mouse Pokémon.	Marill
182	Azumarill is a Water/Fairy type Pokémon introduced in Generation 2. It is known as the Aqua Rabbit Pokémon.	Azumarill
183	Sudowoodo is a Rock type Pokémon introduced in Generation 2. It is known as the Imitation Pokémon.	Sudowoodo
184	Politoed is a Water type Pokémon introduced in Generation 2. It is known as the Frog Pokémon.	Politoed
185	Hoppip is a Grass/Flying type Pokémon introduced in Generation 2. It is known as the Cottonweed Pokémon.	Hoppip
186	Skiploom is a Grass/Flying type Pokémon introduced in Generation 2. It is known as the Cottonweed Pokémon.	Skiploom
187	Jumpluff is a Grass/Flying type Pokémon introduced in Generation 2. It is known as the Cottonweed Pokémon.	Jumpluff
188	Aipom is a Normal type Pokémon introduced in Generation 2. It is known as the Long Tail Pokémon.	Aipom
189	Sunkern is a Grass type Pokémon introduced in Generation 2. It is known as the Seed Pokémon.	Sunkern
190	Sunflora is a Grass type Pokémon introduced in Generation 2. It is known as the Sun Pokémon.	Sunflora
191	Yanma is a Bug/Flying type Pokémon introduced in Generation 2. It is known as the Clear Wing Pokémon.	Yanma
192	Wooper is a Water/Ground type Pokémon introduced in Generation 2. It is known as the Water Fish Pokémon.	Wooper
193	Quagsire is a Water/Ground type Pokémon introduced in Generation 2. It is known as the Water Fish Pokémon.	Quagsire
194	Espeon is a Psychic type Pokémon introduced in Generation 2. It is known as the Sun Pokémon.	Espeon
195	Umbreon is a Dark type Pokémon introduced in Generation 2. It is known as the Moonlight Pokémon.	Umbreon
196	Murkrow is a Dark/Flying type Pokémon introduced in Generation 2. It is known as the Darkness Pokémon.	Murkrow
197	Slowking is a Water/Psychic type Pokémon introduced in Generation 2. It is known as the Royal Pokémon.	Slowking
198	Misdreavus is a Ghost type Pokémon introduced in Generation 2. It is known as the Screech Pokémon.	Misdreavus
199	Unown is a Psychic type Pokémon introduced in Generation 2. It is known as the Symbol Pokémon.	Unown
200	Wobbuffet is a Psychic type Pokémon introduced in Generation 2. It is known as the Patient Pokémon.	Wobbuffet
201	Girafarig is a Normal/Psychic type Pokémon introduced in Generation 2. It is known as the Long Neck Pokémon.	Girafarig
202	Pineco is a Bug type Pokémon introduced in Generation 2. It is known as the Bagworm Pokémon.	Pineco
203	Forretress is a Bug/Steel type Pokémon introduced in Generation 2. It is known as the Bagworm Pokémon.	Forretress
204	Dunsparce is a Normal type Pokémon introduced in Generation 2. It is known as the Land Snake Pokémon.	Dunsparce
205	Gligar is a Ground/Flying type Pokémon introduced in Generation 2. It is known as the FlyScorpion Pokémon.	Gligar
206	"Steelix is a Steel/Ground type Pokémon introduced in Generation 2. It is known as the Iron Snake Pokémon.
Steelix has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards."	Steelix
207	Snubbull is a Fairy type Pokémon introduced in Generation 2. It is known as the Fairy Pokémon.	Snubbull
208	Granbull is a Fairy type Pokémon introduced in Generation 2. It is known as the Fairy Pokémon.	Granbull
209	Qwilfish is a Water/Poison type Pokémon introduced in Generation 2. It is known as the Balloon Pokémon.	Qwilfish
210	"Scizor is a Bug/Steel type Pokémon introduced in Generation 2. It is known as the Pincer Pokémon.
Scizor is a red, metal, ant-like Pokémon with yellow and black patterns on its pincers which resemble an eye pattern. Its body consists of three main parts: the torso, the abdomen and the head. It stands on two legs and has a pair of small wings located on its back which are used to control its body temperature, rather than flying. Scizor's habitat is lush and vast where it can reside with the rest of the swarm.
Scizor evolves from the Bug/Flying type Scyther, thus losing its Flying type upon evolution - a rare occurrence for Pokémon.
Scizor has a Mega Evolution, available from X & Y onwards."	Scizor
211	Shuckle is a Bug/Rock type Pokémon introduced in Generation 2. It is known as the Mold Pokémon.	Shuckle
212	"Heracross is a Bug/Fighting type Pokémon introduced in Generation 2. It is known as the Single Horn Pokémon.
Heracross has a Mega Evolution, available from X & Y onwards."	Heracross
213	Sneasel is a Dark/Ice type Pokémon introduced in Generation 2. It is known as the Sharp Claw Pokémon.	Sneasel
214	Teddiursa is a Normal type Pokémon introduced in Generation 2. It is known as the Little Bear Pokémon.	Teddiursa
215	Ursaring is a Normal type Pokémon introduced in Generation 2. It is known as the Hibernator Pokémon.	Ursaring
216	Slugma is a Fire type Pokémon introduced in Generation 2. It is known as the Lava Pokémon.	Slugma
217	Magcargo is a Fire/Rock type Pokémon introduced in Generation 2. It is known as the Lava Pokémon.	Magcargo
218	Swinub is an Ice/Ground type Pokémon introduced in Generation 2. It is known as the Pig Pokémon.	Swinub
219	Piloswine is an Ice/Ground type Pokémon introduced in Generation 2. It is known as the Swine Pokémon.	Piloswine
220	Corsola is a Water/Rock type Pokémon introduced in Generation 2. It is known as the Coral Pokémon.	Corsola
221	Remoraid is a Water type Pokémon introduced in Generation 2. It is known as the Jet Pokémon.	Remoraid
222	Octillery is a Water type Pokémon introduced in Generation 2. It is known as the Jet Pokémon.	Octillery
223	Delibird is an Ice/Flying type Pokémon introduced in Generation 2. It is known as the Delivery Pokémon.	Delibird
224	Mantine is a Water/Flying type Pokémon introduced in Generation 2. It is known as the Kite Pokémon.	Mantine
225	Skarmory is a Steel/Flying type Pokémon introduced in Generation 2. It is known as the Armor Bird Pokémon.	Skarmory
226	Houndour is a Dark/Fire type Pokémon introduced in Generation 2. It is known as the Dark Pokémon.	Houndour
227	"Houndoom is a Dark/Fire type Pokémon introduced in Generation 2. It is known as the Dark Pokémon.
Houndoom has a Mega Evolution, available from X & Y onwards."	Houndoom
228	Kingdra is a Water/Dragon type Pokémon introduced in Generation 2. It is known as the Dragon Pokémon.	Kingdra
229	Phanpy is a Ground type Pokémon introduced in Generation 2. It is known as the Long Nose Pokémon.	Phanpy
230	Donphan is a Ground type Pokémon introduced in Generation 2. It is known as the Armor Pokémon.	Donphan
231	Porygon2 is a Normal type Pokémon introduced in Generation 2. It is known as the Virtual Pokémon.	Porygon2
232	Stantler is a Normal type Pokémon introduced in Generation 2. It is known as the Big Horn Pokémon.	Stantler
233	Smeargle is a Normal type Pokémon introduced in Generation 2. It is known as the Painter Pokémon.	Smeargle
234	Tyrogue is a Fighting type Pokémon introduced in Generation 2. It is known as the Scuffle Pokémon.	Tyrogue
235	Hitmontop is a Fighting type Pokémon introduced in Generation 2. It is known as the Handstand Pokémon.	Hitmontop
236	Smoochum is an Ice/Psychic type Pokémon introduced in Generation 2. It is known as the Kiss Pokémon.	Smoochum
237	Elekid is an Electric type Pokémon introduced in Generation 2. It is known as the Electric Pokémon.	Elekid
238	Magby is a Fire type Pokémon introduced in Generation 2. It is known as the Live Coal Pokémon.	Magby
239	Miltank is a Normal type Pokémon introduced in Generation 2. It is known as the Milk Cow Pokémon.	Miltank
240	Blissey is a Normal type Pokémon introduced in Generation 2. It is known as the Happiness Pokémon.	Blissey
241	"Raikou is an Electric type Pokémon introduced in Generation 2. It is known as the Thunder Pokémon.
Prior to Generation 7, Raikou had Volt Absorb as its hidden ability."	Raikou
242	"Entei is a Fire type Pokémon introduced in Generation 2. It is known as the Volcano Pokémon.
Prior to Generation 7, Entei had Flash Fire as its hidden ability."	Entei
243	"Suicune is a Water type Pokémon introduced in Generation 2. It is known as the Aurora Pokémon.
Prior to Generation 7, Suicune has Water Absorb as its hidden ability."	Suicune
244	Larvitar is a Rock/Ground type Pokémon introduced in Generation 2. It is known as the Rock Skin Pokémon.	Larvitar
245	Pupitar is a Rock/Ground type Pokémon introduced in Generation 2. It is known as the Hard Shell Pokémon.	Pupitar
246	"Tyranitar is a Rock/Dark type Pokémon introduced in Generation 2. It is known as the Armor Pokémon.
Tyranitar has a Mega Evolution, available from X & Y onwards."	Tyranitar
